cycle,capacity_Ah,relative_capacity
1,-2.8000000000000362,1.0
2,-1.7450006112498704,0.6232145040178028
3,0.0,-0.0
4,4.464368905140401,-1.594417466121551
5,0.0,-0.0
6,-2.8000000000000327,0.9999999999999988
7,-1.6646575522851803,0.5945205543875567
8,0.0,-0.0
9,4.4640257013907725,-1.5942948933538268
10,0.0,-0.0
11,-2.800000000000028,0.999999999999997
12,-1.6637924807088038,0.5942116002531366
13,0.0,-0.0
14,4.463220940657146,-1.594007478806103
15,0.0,-0.0
16,-2.8000000000000163,0.9999999999999929
17,-1.6630097393999117,0.593932049785675
18,0.0,-0.0
19,4.462483968307006,-1.5937442743953387
20,0.0,-0.0
21,-2.7999999999999576,0.9999999999999719
22,-1.662289509221603,0.5936748247219934
23,0.0,-0.0
24,4.461800012715467,-1.5935000045412175
25,0.0,-0.0
26,-2.800000000000004,0.9999999999999885
27,-1.6616187625713716,0.5934352723469107
28,0.0,-0.0
29,4.4611589393600095,-1.5932710497714113
30,0.0,-0.0
31,-2.7999999999999834,0.9999999999999811
32,-1.660988464404832,0.5932101658588609
33,0.0,-0.0
34,4.4605534989533915,-1.5930548210547621
35,0.0,-0.0
36,-2.800000000000027,0.9999999999999967
37,-1.6603918844155579,0.5929971015769773
38,0.0,-0.0
39,4.4599781340187565,-1.5928493335781067
40,0.0,-0.0
41,-2.8000000000000096,0.9999999999999905
42,-1.6598240994390863,0.5927943212282374
43,0.0,-0.0
44,4.459428737580134,-1.5926531205643129
45,0.0,-0.0
46,-2.8000000000000265,0.9999999999999966
47,-1.6592811318229788,0.5926004042224847
48,0.0,-0.0
49,4.458901914378988,-1.5924649694210464
50,0.0,-0.0
51,-2.800000000000036,0.9999999999999999
52,-1.658759922398628,0.5924142579995023
53,0.0,-0.0
54,4.458395018288141,-1.592283935102887
55,0.0,-0.0
56,-2.7999999999999954,0.9999999999999855
57,-1.6582580063246137,0.592235002258783
58,0.0,-0.0
59,4.457905893633682,-1.5921092477262944
60,0.0,-0.0
61,-2.7999999999999474,0.9999999999999682
62,-1.657773168432441,0.5920618458687212
63,0.0,-0.0
64,4.457432609093085,-1.591940217533224
65,0.0,-0.0
66,-2.800000000000039,1.0000000000000009
67,-1.6573037143283629,0.5918941836886934
68,0.0,-0.0
69,4.456973628530173,-1.5917762959036128
70,0.0,-0.0
71,-2.80000000000004,1.0000000000000013
72,-1.6568482790969736,0.5917315282489115
73,0.0,-0.0
74,4.456527785913546,-1.5916170663976745
75,0.0,-0.0
76,-2.7999999999999656,0.9999999999999748
77,-1.6564056234009548,0.5915734369289047
78,0.0,-0.0
79,4.456093901524288,-1.5914621076872253
80,0.0,-0.0
81,-2.799999999999977,0.9999999999999789
82,-1.6559746225865526,0.5914195080666182
83,0.0,-0.0
84,4.45567100633907,-1.5913110736925045
85,0.0,-0.0
86,-2.8000000000000016,0.9999999999999877
87,-1.6555543884976847,0.5912694244634512
88,0.0,-0.0
89,4.455258273108847,-1.591163668967425
90,0.0,-0.0
91,-2.800000000000019,0.9999999999999938
92,-1.6551441906420972,0.5911229252293128
93,0.0,-0.0
94,4.454855044932454,-1.5910196589044274
95,0.0,-0.0
96,-2.799999999999996,0.9999999999999856
97,-1.6547432411904714,0.5909797289965893
98,0.0,-0.0
99,4.454460601138851,-1.5908787861209976
100,0.0,-0.0
