cycle,capacity_Ah,relative_capacity
1,-2.7999999999999257,1.0
2,-1.5894731428829627,0.5676689796010732
3,0.0,-0.0
4,4.285832516210832,-1.530654470075338
5,0.0,-0.0
6,-2.799999999999963,1.0000000000000133
7,-1.4877073924349542,0.5313240687267835
8,0.0,-0.0
9,4.287435822186377,-1.5312270793523182
10,0.0,-0.0
11,-2.800000000000002,1.0000000000000273
12,-1.487338922279858,0.5311924722428205
13,0.0,-0.0
14,4.287080701349921,-1.5311002504821551
15,0.0,-0.0
16,-2.8000000000000003,1.0000000000000266
17,-1.4869883685680683,0.5310672744886099
18,0.0,-0.0
19,4.286741748098581,-1.530979195749534
20,0.0,-0.0
21,-2.8000000000000176,1.0000000000000329
22,-1.4866536281128058,0.5309477243260161
23,0.0,-0.0
24,4.286417176754647,-1.5308632774124145
25,0.0,-0.0
26,-2.8000000000000114,1.0000000000000306
27,-1.4863325019818046,0.5308330364220871
28,0.0,-0.0
29,4.286105055817138,-1.5307518056490184
30,0.0,-0.0
31,-2.799999999999979,1.000000000000019
32,-1.4860235433017426,0.5307226940363508
33,0.0,-0.0
34,4.2858041276232095,-1.530644331294044
35,0.0,-0.0
36,-2.799999999999953,1.0000000000000098
37,-1.4857254961845294,0.530616248637346
38,0.0,-0.0
39,4.285513352448236,-1.5305404830172677
40,0.0,-0.0
41,-2.8000000000000265,1.000000000000036
42,-1.4854372531110198,0.5305133046825211
43,0.0,-0.0
44,4.2852316719026655,-1.5304398828224213
45,0.0,-0.0
46,-2.8000000000000216,1.0000000000000342
47,-1.4851578979046738,0.530413534965969
48,0.0,-0.0
49,4.284958318407912,-1.530342256574295
50,0.0,-0.0
51,-2.800000000000054,1.0000000000000457
52,-1.484886734205391,0.5303166907876538
53,0.0,-0.0
54,4.284692662274513,-1.5302473793837954
55,0.0,-0.0
56,-2.800000000000014,1.0000000000000315
57,-1.4846228582249967,0.5302224493660843
58,0.0,-0.0
59,4.284433852275136,-1.5301549472411606
60,0.0,-0.0
61,-2.799999999999951,1.000000000000009
62,-1.484366060473584,0.530130735883437
63,0.0,-0.0
64,4.284181757159522,-1.5300649132712985
65,0.0,-0.0
66,-2.7999999999999963,1.0000000000000253
67,-1.4841156036208907,0.530041287007475
68,0.0,-0.0
69,4.2839356556727415,-1.5299770198831626
70,0.0,-0.0
71,-2.800000000000023,1.0000000000000346
72,-1.483871056613245,0.5299539487904587
73,0.0,-0.0
74,4.283695175229565,-1.5298911340105996
75,0.0,-0.0
76,-2.7999999999999776,1.0000000000000187
77,-1.483632098025275,0.5298686064376124
78,0.0,-0.0
79,4.283460011629744,-1.5298071470106636
80,0.0,-0.0
81,-2.799999999999971,1.0000000000000162
82,-1.483398238986886,0.5297850853524734
83,0.0,-0.0
84,4.283229733456378,-1.5297249048058899
85,0.0,-0.0
86,-2.7999999999999026,0.9999999999999918
87,-1.483169142857097,0.5297032653061201
88,0.0,-0.0
89,4.283003983807079,-1.5296442799311403
90,0.0,-0.0
91,-2.7999999999999874,1.000000000000022
92,-1.4829447905909747,0.5296231394967907
93,0.0,-0.0
94,4.2827827899746636,-1.529565282133849
95,0.0,-0.0
96,-2.7999999999999345,1.000000000000003
97,-1.4827246825732812,0.5295445294904716
98,0.0,-0.0
99,4.282565678969201,-1.529487742489041
100,0.0,-0.0
