Cycle,Capacity (Ah)
2.159244265,1.765384615
50.74224022,1.707692308
155.465587,1.65
231.0391363,1.6
348.7179487,1.507692308
401.6194332,1.446153846
460.9986505,1.357692308
532.2537112,1.280769231
584.0755735,1.25
681.2415655,1.196153846
737.3819163,1.165384615
800,1.134615385
107.9622132,1.669230769
299.0553306,1.561538462
