Cycle,Capacity (Ah)
0.08,1.769230769
35.62753036,1.711538462
95.00674764,1.673076923
152.2267206,1.611538462
208.3670715,1.515384615
265.5870445,1.388461538
333.6032389,1.188461538
397.3009447,0.953846154
428.6099865,0.8
470.72,0.642307692
497.705803,0.530769231
